"","sdate","Site","Year","Month","Precip","PPrecip","MaxT","D_Median","ClassCDO","ClassBDO","ClassC_PctSat","ClassB_PctSat","ClassCBoth","ClassBBoth","ChlCCC","ChlCMC","MaxT_ex","AvgT_ex"
"1",2010-06-04,"S01",2010,6,0,28,217,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"2",2010-06-05,"S01",2010,6,196,0,261,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"3",2010-06-06,"S01",2010,6,257,196,189,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4",2010-06-07,"S01",2010,6,0,257,222,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",2010-06-08,"S01",2010,6,8,0,211,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"6",2010-06-09,"S01",2010,6,0,8,211,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"7",2010-06-10,"S01",2010,6,74,0,139,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"8",2010-06-11,"S01",2010,6,0,74,206,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"9",2010-06-12,"S01",2010,6,3,0,211,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"10",2010-06-13,"S01",2010,6,5,3,161,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"11",2010-06-14,"S01",2010,6,25,5,217,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"12",2010-06-15,"S01",2010,6,0,25,239,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"13",2010-06-16,"S01",2010,6,8,0,211,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"14",2010-06-17,"S01",2010,6,15,8,200,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"15",2010-06-18,"S01",2010,6,0,15,306,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"16",2010-06-19,"S01",2010,6,0,0,289,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"17",2010-06-20,"S01",2010,6,0,0,283,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"18",2010-06-21,"S01",2010,6,0,0,294,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"19",2010-06-22,"S01",2010,6,0,0,267,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"20",2010-06-23,"S01",2010,6,61,0,261,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"21",2010-06-24,"S01",2010,6,48,61,300,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"22",2010-06-25,"S01",2010,6,0,48,261,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"23",2010-06-26,"S01",2010,6,0,0,250,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"24",2010-06-27,"S01",2010,6,58,0,222,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"25",2010-06-28,"S01",2010,6,81,58,283,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"26",2010-06-29,"S01",2010,6,0,81,272,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"27",2010-06-30,"S01",2010,6,0,0,233,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"28",2010-07-01,"S01",2010,7,20,0,211,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29",2010-07-02,"S01",2010,7,0,20,256,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"30",2010-07-03,"S01",2010,7,0,0,272,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"31",2010-07-04,"S01",2010,7,0,0,322,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"32",2010-07-05,"S01",2010,7,0,0,317,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"33",2010-07-06,"S01",2010,7,0,0,350,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"34",2010-07-07,"S01",2010,7,0,0,294,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"35",2010-07-08,"S01",2010,7,0,0,261,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"36",2010-07-09,"S01",2010,7,0,0,278,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"37",2010-07-10,"S01",2010,7,102,0,272,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"38",2010-07-11,"S01",2010,7,0,102,267,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"39",2010-07-12,"S01",2010,7,0,0,267,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"40",2010-07-13,"S01",2010,7,5,0,272,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"41",2010-07-14,"S01",2010,7,574,5,256,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"42",2010-07-15,"S01",2010,7,0,574,283,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"43",2010-07-16,"S01",2010,7,0,0,239,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"44",2010-07-17,"S01",2010,7,0,0,322,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"45",2010-07-18,"S01",2010,7,0,0,311,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"46",2010-07-19,"S01",2010,7,0,0,267,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"47",2010-07-20,"S01",2010,7,0,0,267,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"48",2010-07-21,"S01",2010,7,244,0,272,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"49",2010-07-22,"S01",2010,7,0,244,278,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"50",2010-07-23,"S01",2010,7,0,0,283,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"51",2010-07-24,"S01",2010,7,0,0,256,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"52",2010-07-25,"S01",2010,7,76,0,294,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"53",2010-07-26,"S01",2010,7,0,76,278,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"54",2010-07-27,"S01",2010,7,0,0,300,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"55",2010-07-28,"S01",2010,7,0,0,306,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"56",2010-07-29,"S01",2010,7,10,0,300,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"57",2010-07-30,"S01",2010,7,0,10,244,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"58",2010-07-31,"S01",2010,7,0,0,228,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"59",2010-08-01,"S01",2010,8,0,0,239,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"60",2010-08-02,"S01",2010,8,0,0,239,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"61",2010-08-03,"S01",2010,8,0,0,272,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"62",2010-08-04,"S01",2010,8,0,0,328,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"63",2010-08-05,"S01",2010,8,15,0,267,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"64",2010-08-06,"S01",2010,8,0,15,300,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"65",2010-08-07,"S01",2010,8,0,0,244,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"66",2010-08-08,"S01",2010,8,0,0,272,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"67",2010-08-09,"S01",2010,8,0,0,311,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"68",2010-08-10,"S01",2010,8,0,0,317,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"69",2010-08-11,"S01",2010,8,0,0,278,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"70",2010-08-12,"S01",2010,8,0,0,228,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"71",2010-08-13,"S01",2010,8,0,0,239,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"72",2010-08-14,"S01",2010,8,0,0,256,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"73",2010-08-15,"S01",2010,8,0,0,239,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"74",2010-08-16,"S01",2010,8,38,0,222,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"75",2010-08-17,"S01",2010,8,0,38,289,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"76",2010-08-18,"S01",2010,8,0,0,272,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"77",2010-08-19,"S01",2010,8,0,0,278,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"78",2010-08-20,"S01",2010,8,0,0,267,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"79",2010-08-21,"S01",2010,8,0,0,239,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"80",2010-08-22,"S01",2010,8,8,0,217,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"81",2010-08-23,"S01",2010,8,18,8,200,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"82",2010-08-24,"S01",2010,8,0,18,228,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"83",2010-08-25,"S01",2010,8,671,0,178,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"84",2010-08-26,"S01",2010,8,0,671,272,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"85",2010-08-27,"S01",2010,8,0,0,250,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"86",2010-08-28,"S01",2010,8,0,0,283,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"87",2010-08-29,"S01",2010,8,0,0,328,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"88",2010-08-30,"S01",2010,8,0,0,322,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"89",2010-08-31,"S01",2010,8,0,0,344,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"90",2010-09-01,"S01",2010,9,0,0,328,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"91",2010-09-02,"S01",2010,9,0,0,339,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"92",2010-09-03,"S01",2010,9,66,0,283,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"93",2010-09-04,"S01",2010,9,221,66,278,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"94",2010-09-05,"S01",2010,9,0,221,228,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"95",2010-09-06,"S01",2010,9,0,0,239,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"96",2010-09-07,"S01",2010,9,0,0,261,0.077,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"97",2010-09-08,"S01",2010,9,20,0,272,0.0825,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"98",2010-09-09,"S01",2010,9,33,20,233,0.077,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"99",2010-09-10,"S01",2010,9,0,33,189,0.094,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"100",2010-09-11,"S01",2010,9,0,0,228,0.075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"101",2010-09-12,"S01",2010,9,0,0,161,0.066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"102",2010-09-13,"S01",2010,9,3,0,161,0.066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"103",2010-09-14,"S01",2010,9,0,3,222,0.065,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"104",2010-09-15,"S01",2010,9,0,0,194,0.063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"105",2010-09-16,"S01",2010,9,74,0,178,0.063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
