"","Site","sdate","Year","Month","DOY","Precip","MaxT","lPrecip","wPrecip","wlPrecip","Chl_Median","D_Median","lD_Median","DO_Median","PctSat_Median","pH_Median","spCond_Median","T_Median"
"1","S07",2010-06-05,2010,"Jun",156,19.6,26.1,3.02529107579554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","S07",2010-06-06,2010,"Jun",157,25.7,18.9,3.2846635654062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","S07",2010-06-07,2010,"Jun",158,0,22.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","S07",2010-06-08,2010,"Jun",159,0.8,21.1,0.587786664902119,NA,NA,91.6427,NA,NA,8.69,91.65,7.315,356.5,17.675
"5","S07",2010-06-09,2010,"Jun",160,0,21.1,0,NA,NA,111.083,NA,NA,8.635,87.35,7.3,425,16.425
"6","S07",2010-06-10,2010,"Jun",161,7.4,13.9,2.12823170584927,18.249777152,3.11586151757401,109.664,NA,NA,8.375,82.35,7.24,420,15.115
"7","S07",2010-06-11,2010,"Jun",162,0,20.6,0,20.358760448,4.09688861056294,102.2852,NA,NA,8.68,85.65,7.265,394,16.605
"8","S07",2010-06-12,2010,"Jun",163,0.3,21.1,0.262364264467491,16.2870083584,3.27751088845035,123.0026,NA,NA,8.17,83.4,7.27,467,16.48
"9","S07",2010-06-13,2010,"Jun",164,0.5,16.1,0.405465108108164,12.968958976,2.68855547429076,145.9904,NA,NA,8.16,83.55,7.3,548,16.375
"10","S07",2010-06-14,2010,"Jun",165,2.5,21.7,1.25276296849537,10.7751671808,2.47521646591914,152.6597,NA,NA,7.895,80.95,7.29,571.5,17.175
"11","S07",2010-06-15,2010,"Jun",166,0,23.9,0,8.5155997696,2.65754539174604,151.3826,NA,NA,7.595,79.75,7.295,567,17.31
"12","S07",2010-06-16,2010,"Jun",167,0.8,21.1,0.587786664902119,4.052963328,1.77334824860228,168.9782,NA,NA,7.97,82.7,7.325,628.5,17.08
"13","S07",2010-06-17,2010,"Jun",168,1.5,20,0.916290731874155,3.8823706624,1.88890793080352,183.452,NA,NA,7.84,80.4,7.32,680,16.51
"14","S07",2010-06-18,2010,"Jun",169,0,30.6,0,4.219997184,2.18104581757265,173.8028,NA,NA,7.5,76.5,7.365,646,18.825
"15","S07",2010-06-19,2010,"Jun",170,0,28.9,0,3.3759977472,1.74483665405812,196.5068,NA,NA,5.6,61.4,7.31,726,20.24
"16","S07",2010-06-20,2010,"Jun",171,0,28.3,0,1.906229248,1.16735218387317,225.7382,NA,NA,5.18,58.85,7.25,829,21.04
"17","S07",2010-06-21,2010,"Jun",172,0,29.4,0,1.5249833984,0.933881747098539,260.6456,NA,NA,5.105,56.65,7.23,952,20.885
"18","S07",2010-06-22,2010,"Jun",173,0,26.7,0,1.187774464,0.718934249290657,292.8569,NA,NA,5.84,59.4,7.22,1065.5,18.88
"19","S07",2010-07-05,2010,"Jul",186,0,31.7,0,3.490971648,1.2347065509239,NA,NA,NA,NA,NA,NA,NA,NA
"20","S07",2010-07-06,2010,"Jul",187,0,35,0,2.7927773184,0.987765240739122,NA,NA,NA,NA,NA,NA,NA,NA
"21","S07",2010-07-07,2010,"Jul",188,0,29.4,0,1.6114515968,0.584384194384177,NA,NA,NA,NA,NA,NA,NA,NA
"22","S07",2010-07-08,2010,"Jul",189,0,26.1,0,0.4194304,0.23039569584049,450.224,NA,NA,5.615,59,NA,1602.5,23.91
"23","S07",2010-07-09,2010,"Jul",190,0,27.8,0,0.33554432,0.184316556672392,475.1984,NA,NA,4.505,52.25,NA,1708,22.705
