site,thedate,type,taskcode,Aluminum,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Mercury,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc
S01,2010-10-21T12:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0016,NA,6.7e-4,NA,NA,0.0024,NA,NA,NA,NA,0.01
S01,2012-10-25T14:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,NA,5e-4,NA,NA,0.0012,NA,NA,NA,NA,0.0363
S01,2012-10-25T14:46:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-10-25T14:46:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0023,NA,9e-4,NA,NA,0.0017,NA,NA,NA,NA,0.0351
S01,2010-11-15T11:45:00Z,N,Baseflow,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0015,NA,2.5e-4,NA,NA,0.0022,NA,NA,NA,NA,0.01
S01,2012-11-29T09:01:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,9e-4,NA,1e-4,NA,NA,0.0013,NA,NA,NA,NA,0.024
S01,2011-11-09T14:00:00Z,N,Baseflow,NA,NA,NA,NA,NA,2e-5,NA,NA,0.0013,NA,1e-4,NA,NA,0.0019,NA,NA,NA,NA,0.0209
S01,2011-03-24T09:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,5e-4,NA,NA,0.025,NA,0.004,NA,NA,0.01,NA,NA,NA,NA,0.025
S01,2011-03-31T08:40:00Z,N,Baseflow,NA,NA,NA,NA,NA,5e-4,NA,NA,0.025,NA,0.004,NA,NA,0.01,NA,NA,NA,NA,0.025
S01,2012-04-19T10:45:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,NA,2e-4,NA,NA,0.0019,NA,NA,NA,NA,0.0271
S01,2017-05-01T10:45:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,3e-4,NA,NA,0.004,NA,NA,NA,NA,0.058
S01,2017-05-01T10:50:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-05-01T10:55:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-05-10T11:54:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-05-10T12:10:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,1e-4,NA,NA,0.0035,NA,NA,NA,NA,0.014
S01,2018-05-10T12:15:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0015,NA,1e-4,NA,NA,0.0022,NA,NA,NA,NA,0.012
S01,2018-05-10T12:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-05-10T12:17:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2016-05-12T13:00:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,5e-4,NA,NA,0.002,NA,NA,NA,NA,0.01
S01,2016-05-12T12:50:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-05-14T09:22:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.00202,NA,2.9e-4,NA,NA,0.00452,NA,NA,NA,NA,0.013
S01,2014-05-14T09:22:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.00356,NA,4.1e-4,NA,NA,0.00422,NA,NA,NA,NA,0.013
S01,2013-05-29T08:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0018600000000000001,NA,3.5e-4,NA,NA,0.00138,NA,NA,NA,NA,0.02428
