site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2010-10-21T12:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-10-25T14:35:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-10-25T14:46:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2012-10-25T14:46:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-11-15T11:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-11-29T09:01:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-11-09T14:00:00Z,N,Baseflow,412,NA,10.2,8.43,NA
S01,2011-03-24T09:20:00Z,N,Baseflow,222.6,7.16,4.5,12.49,NA
S01,2011-03-31T08:40:00Z,N,Baseflow,81,7.91,4.7,13.36,NA
S01,2012-04-19T10:45:00Z,N,Baseflow,174,NA,0,7.41,NA
S01,2017-05-01T10:45:00Z,N,Baseflow,30.3,7.14,NA,11.01,96.3
S01,2017-05-01T10:50:00Z,N,Baseflow,32.2,7.13,NA,10.93,95.6
S01,2017-05-01T10:55:00Z,N,Baseflow,33.8,7.13,NA,10.92,95.6
S01,2018-05-10T11:54:00Z,N,Baseflow,NA,NA,NA,10.9,105.8
S01,2018-05-10T12:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T12:15:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T12:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T12:17:00Z,N,Baseflow,NA,NA,NA,11.01,107.9
S01,2016-05-12T13:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-05-12T12:50:00Z,N,Baseflow,72,6.92,3.51,8.56,NA
S01,2014-05-14T09:22:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2014-05-14T09:22:00Z,N,Baseflow,71,7.01,4.4,8.7,NA
S01,2013-05-29T08:30:00Z,N,Baseflow,170,8.09,6.1,6.9,NA
S01,2015-05-06T10:20:00Z,N,Baseflow,86,7.53,0,9.21,NA
S01,2015-05-06T10:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2015-05-06T10:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2019-06-10T09:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-06-12T08:30:00Z,N,Baseflow,140,NA,0.4,7.45,NA
S01,2013-06-20T08:40:00Z,N,Baseflow,140,6.91,0.8,4.27,NA
S01,2011-07-13T11:05:00Z,N,Baseflow,252,7.42,9,5.76,NA
S01,2011-07-13T11:10:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2012-07-13T11:00:00Z,N,Baseflow,170,NA,1,4.64,NA
S01,2015-07-14T10:20:00Z,N,Baseflow,109,7.53,4.8,5.33,NA
S01,2015-07-14T10:30:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2015-07-14T10:30:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-07-17T12:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-07-17T12:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2017-07-17T12:25:00Z,N,Baseflow,NA,NA,NA,5.85,64
S01,2017-07-17T12:35:00Z,N,Baseflow,NA,NA,NA,5.82,64.3
S01,2014-07-22T10:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2014-07-22T10:25:00Z,N,Baseflow,63,7.34,3,6.4,NA
S01,2016-07-05T12:30:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-07-05T12:35:00Z,N,Baseflow,47,7.4,3.87,5.6,0.653
S01,2016-07-05T12:41:00Z,N,Baseflow,50,7.36,3.88,5.38,0.614
S01,2018-07-09T09:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T09:44:00Z,N,Baseflow,NA,NA,NA,5.89,63.5
S01,2018-07-09T09:46:00Z,N,Baseflow,NA,NA,NA,5.83,62.6
S01,2018-07-09T09:47:00Z,N,Baseflow,NA,NA,NA,6.13,66
S01,2013-08-01T11:30:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-01T11:35:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-01T11:35:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-08-19T13:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-08-25T10:50:00Z,N,Baseflow,243,7.52,10.2,8.89,NA
S01,2010-09-01T10:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-09-01T10:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-11T09:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
