"","sdate","Year","Month","DOY","Precip","MaxT","lPrecip","wPrecip","wlPrecip"
"1",2010-06-01,2010,"Jun",152,1.5,20.6,0.916290731874155,NA,NA
"2",2010-06-02,2010,"Jun",153,0,19.4,0,NA,NA
"3",2010-06-03,2010,"Jun",154,2.8,17.8,1.33500106673234,NA,NA
"4",2010-06-04,2010,"Jun",155,0,21.7,0,NA,NA
"5",2010-06-05,2010,"Jun",156,19.6,26.1,3.02529107579554,NA,NA
"6",2010-06-06,2010,"Jun",157,25.7,18.9,3.2846635654062,NA,NA
"7",2010-06-07,2010,"Jun",158,0,22.2,0,NA,NA
"8",2010-06-08,2010,"Jun",159,0.8,21.1,0.587786664902119,NA,NA
"9",2010-06-09,2010,"Jun",160,0,21.1,0,NA,NA
"10",2010-06-10,2010,"Jun",161,7.4,13.9,2.12823170584927,18.249777152,3.11586151757401
"11",2010-06-11,2010,"Jun",162,0,20.6,0,20.358760448,4.09688861056294
"12",2010-06-12,2010,"Jun",163,0.3,21.1,0.262364264467491,16.2870083584,3.27751088845035
"13",2010-06-13,2010,"Jun",164,0.5,16.1,0.405465108108164,12.968958976,2.68855547429076
"14",2010-06-14,2010,"Jun",165,2.5,21.7,1.25276296849537,10.7751671808,2.47521646591914
"15",2010-06-15,2010,"Jun",166,0,23.9,0,8.5155997696,2.65754539174604
"16",2010-06-16,2010,"Jun",167,0.8,21.1,0.587786664902119,4.052963328,1.77334824860228
"17",2010-06-17,2010,"Jun",168,1.5,20,0.916290731874155,3.8823706624,1.88890793080352
"18",2010-06-18,2010,"Jun",169,0,30.6,0,4.219997184,2.18104581757265
"19",2010-06-19,2010,"Jun",170,0,28.9,0,3.3759977472,1.74483665405812
"20",2010-06-20,2010,"Jun",171,0,28.3,0,1.906229248,1.16735218387317
"21",2010-06-21,2010,"Jun",172,0,29.4,0,1.5249833984,0.933881747098539
"22",2010-06-22,2010,"Jun",173,0,26.7,0,1.187774464,0.718934249290657
"23",2010-06-23,2010,"Jun",174,6.1,26.1,1.96009478404727,0.89653248,0.531610914957684
"24",2010-06-24,2010,"Jun",175,4.8,30,1.75785791755237,5.328790528,1.85885015972078
"25",2010-06-25,2010,"Jun",176,0,26.1,0,8.1030324224,2.89336646181852
"26",2010-06-26,2010,"Jun",177,0,25,0,6.396526592,2.25158005688533
"27",2010-06-27,2010,"Jun",178,5.8,22.2,1.91692261218206,4.95616,1.70287807733258
"28",2010-06-28,2010,"Jun",179,8.1,28.3,2.2082744135228,8.604928,2.89584055161171
"29",2010-06-29,2010,"Jun",180,0,27.2,0,13.3639424,4.08329197210761
"30",2010-06-30,2010,"Jun",181,0,23.3,0,10.69115392,3.26663357768609
"31",2010-07-01,2010,"Jul",182,2,21.1,1.09861228866811,8.552923136,2.61330686214887
"32",2010-07-02,2010,"Jul",183,0,25.6,0,8.4423385088,2.96953532065359
"33",2010-07-03,2010,"Jul",184,0,27.2,0,6.0988882944,2.16516468165929
"34",2010-07-04,2010,"Jul",185,0,32.2,0,4.36371456,1.54338318865488
"35",2010-07-05,2010,"Jul",186,0,31.7,0,3.490971648,1.2347065509239
"36",2010-07-06,2010,"Jul",187,0,35,0,2.7927773184,0.987765240739122
"37",2010-07-07,2010,"Jul",188,0,29.4,0,1.6114515968,0.584384194384177
"38",2010-07-08,2010,"Jul",189,0,26.1,0,0.4194304,0.23039569584049
"39",2010-07-09,2010,"Jul",190,0,27.8,0,0.33554432,0.184316556672392
"40",2010-07-10,2010,"Jul",191,10.2,27.2,2.41591377830105,0.268435456,0.147453245337914
"41",2010-07-11,2010,"Jul",192,0,26.7,0,8.16,1.93273102264084
"42",2010-07-12,2010,"Jul",193,0,26.7,0,6.528,1.54618481811267
"43",2010-07-13,2010,"Jul",194,0.5,27.2,0.405465108108164,5.2224,1.23694785449014
"44",2010-07-14,2010,"Jul",195,57.4,25.6,4.06731588983418,4.57792,1.31393037007864
"45",2010-07-15,2010,"Jul",196,0,28.3,0,49.582336,4.30499700793026
