site,thedate,type,taskcode,Calcium,Magnesium,Potassium,Sodium,CHLORIDE (AS Cl),"Chloride, Calculated",Hardness (As CaCO3),Salinity (from sodium),Specific Conductivity,Total Dissolved Solids
S01,2010-10-21T12:20:00Z,N,Baseflow,NA,NA,NA,NA,270,NA,NA,NA,NA,NA
S01,2012-10-25T14:35:00Z,N,Baseflow,NA,NA,NA,NA,260,NA,100,NA,NA,NA
S01,2012-10-25T14:46:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
S01,2012-10-25T14:46:00Z,N,Baseflow,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
S01,2010-11-15T11:45:00Z,N,Baseflow,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
S01,2012-11-29T09:01:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,140,NA,NA,NA
S01,2011-11-09T14:00:00Z,N,Baseflow,NA,NA,NA,NA,300,325.352,110,NA,1180,0.755
S01,2011-03-24T09:20:00Z,N,Baseflow,NA,NA,NA,NA,660,643.208,NA,NA,2300,NA
S01,2011-03-31T08:40:00Z,N,Baseflow,NA,NA,NA,NA,640,654.56,NA,NA,2340,NA
S01,2012-04-19T10:45:00Z,N,Baseflow,NA,NA,NA,NA,700,719.834,NA,1.3,2570,1.65
S01,2017-05-01T10:45:00Z,N,Baseflow,NA,NA,NA,NA,610,592.124,110,NA,2120,NA
S01,2017-05-01T10:50:00Z,N,Baseflow,NA,NA,NA,NA,NA,592.124,NA,NA,2120,NA
S01,2017-05-01T10:55:00Z,N,Baseflow,NA,NA,NA,NA,NA,591.8402,NA,NA,2119,NA
S01,2018-05-10T11:54:00Z,N,Baseflow,NA,NA,NA,NA,NA,786.2432,NA,NA,2804,NA
S01,2018-05-10T12:10:00Z,N,Baseflow,NA,NA,NA,NA,840,NA,160,NA,NA,NA
S01,2018-05-10T12:15:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,160,NA,NA,NA
S01,2018-05-10T12:15:00Z,N,Baseflow,NA,NA,NA,NA,840,NA,NA,NA,NA,NA
S01,2018-05-10T12:17:00Z,N,Baseflow,NA,NA,NA,NA,NA,785.108,NA,NA,2800,NA
S01,2016-05-12T13:00:00Z,N,Baseflow,NA,NA,NA,NA,780,NA,179,NA,NA,NA
S01,2016-05-12T12:50:00Z,N,Baseflow,NA,NA,NA,NA,NA,734.024,NA,NA,2620,NA
S01,2014-05-14T09:22:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,171,NA,NA,NA
S01,2014-05-14T09:22:00Z,N,Baseflow,49.3,11.5,NA,NA,720,745.376,170,NA,2660,NA
S01,2013-05-29T08:30:00Z,N,Baseflow,NA,NA,NA,NA,420,419.006,97,0.8,1510,0.967
S01,2015-05-06T10:20:00Z,N,Baseflow,58.5,12500,NA,NA,950,972.416,198,NA,3460,NA
S01,2015-05-06T10:25:00Z,FD,Baseflow,58.4,12600,NA,NA,NA,NA,198,NA,NA,NA
S01,2015-05-06T10:25:00Z,N,Baseflow,NA,NA,NA,NA,960,NA,NA,NA,NA,NA
S01,2019-06-10T09:15:00Z,N,Baseflow,NA,NA,NA,NA,620,NA,140,NA,NA,NA
S01,2012-06-12T08:30:00Z,N,Baseflow,NA,NA,NA,NA,350,376.436,NA,NA,1360,0.874
S01,2013-06-20T08:40:00Z,N,Baseflow,NA,NA,NA,NA,470,492.794,110,0.5,1770,1.13
S01,2011-07-13T11:05:00Z,N,Baseflow,NA,NA,NA,NA,500,546.716,160,NA,1960,1.26
S01,2011-07-13T11:10:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-07-13T11:00:00Z,N,Baseflow,NA,NA,NA,NA,480,501.308,NA,NA,1800,1.15
S01,2015-07-14T10:20:00Z,N,Baseflow,54.3,11200,NA,NA,840,884.438,NA,NA,3150,NA
S01,2015-07-14T10:30:00Z,FD,Baseflow,54.4,11100,NA,NA,NA,NA,181,NA,NA,NA
S01,2015-07-14T10:30:00Z,N,Baseflow,NA,NA,NA,NA,860,NA,NA,NA,NA,NA
S01,2017-07-17T12:20:00Z,N,Baseflow,NA,NA,NA,NA,750,NA,180,NA,NA,NA
S01,2017-07-17T12:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,190,NA,NA,NA
S01,2017-07-17T12:25:00Z,N,Baseflow,NA,NA,NA,NA,760,421.844,NA,NA,1520,NA
S01,2017-07-17T12:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,422.1278,NA,NA,1521,NA
S01,2014-07-22T10:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,146,NA,NA,NA
S01,2014-07-22T10:25:00Z,N,Baseflow,43.4,9.46,NA,NA,610,592.124,147,NA,2120,NA
S01,2016-07-05T12:30:00Z,N,Baseflow,NA,NA,NA,NA,590,NA,163,NA,NA,NA
S01,2016-07-05T12:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,592.124,NA,NA,2120,NA
S01,2016-07-05T12:41:00Z,N,Baseflow,NA,NA,NA,NA,NA,594.962,NA,NA,2130,NA
S01,2018-07-09T09:40:00Z,N,Baseflow,NA,NA,NA,NA,890,NA,170,NA,NA,NA
S01,2018-07-09T09:44:00Z,N,Baseflow,NA,NA,NA,NA,NA,777.7292,NA,NA,2774,NA
S01,2018-07-09T09:46:00Z,N,Baseflow,NA,NA,NA,NA,NA,777.1616,NA,NA,2772,NA
S01,2018-07-09T09:47:00Z,N,Baseflow,NA,NA,NA,NA,NA,776.594,NA,NA,2770,NA
S01,2013-08-01T11:30:00Z,N,Baseflow,43,7.64,NA,NA,380,NA,139,NA,NA,NA
S01,2013-08-01T11:35:00Z,FD,Baseflow,42.4,7.16,NA,NA,NA,NA,135,NA,NA,NA
S01,2013-08-01T11:35:00Z,N,Baseflow,NA,NA,NA,NA,390,NA,NA,NA,NA,NA
