date,station,AWND,AWNDattr,FMTM,FMTMattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WESD,WESDattr,WSF2,WSF2attr,WT01,WT01attr,WT07,WT07attr,WT08,WT08attr,WT13,WT13attr,WT16,WT16attr,PGTM,PGTMattr,WDF5,WDF5attr,WSF5,WSF5attr,WT02,WT02attr,WT09,WT09attr,WT05,WT05attr,WT03,WT03attr,WT14,WT14attr,WT18,WT18attr,WT17,WT17attr,WT19,WT19attr,WT11,WT11attr,WT22,WT22attr,WT04,WT04attr,WT06,WT06attr,TAVG,TAVGattr
2010-06-01,,17,",,W,",1323,",,X,",15,",,0,2400",0,",,0,",0,",,0,",206,",,0,2400",139,",,0,2400",90,",,X,",0,",,0,",45,",,X,",1,",,W,",1,",,0,",1,",,X,",1,",,X,",1,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-02,,28,",,W,",1308,",,X,",0,",,0,2400",0,",,0,",0,",,0,",194,",,0,2400",117,",,0,2400",170,",,X,",0,",,0,",72,",,X,",1,",,X,",,,,,1,",,X,",,,1626,",,W,",190,",,X,",103,",,X,",1,",,X,",1,",,0,",,,,,,,,,,,,,,,,,,,,,,
2010-06-03,,20,",,W,",1631,",,X,",28,",,0,2400",0,",,0,",0,",,0,",178,",,0,2400",128,",,0,2400",30,",,Z,",0,",,0,",45,",,Z,",1,",,X,",,,,,1,",,X,",1,",,X,",,,,,,,1,",,X,",1,",,0,",1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-04,,17,",,W,",637,",,X,",0,",,0,2400",0,",,0,",0,",,0,",217,",,0,2400",111,",,0,2400",140,",,Z,",0,",,0,",45,",,Z,",1,",,X,",,,,,1,",,X,",,,,,,,,,1,",,X,",1,",,0,",,,,,,,,,,,,,,,,,,,,,,
2010-06-05,,17,",,W,",539,",,X,",196,",,0,2400",0,",,0,",0,",,0,",261,",,0,2400",144,",,0,2400",290,",,X,",0,",,0,",98,",,X,",1,",,W,",,,1,",,X,",1,",,X,",1,",,X,",1656,",,W,",30,",,X,",170,",,X,",1,",,X,",1,",,0,",1,",,0,",1,",,W,",,,,,,,,,,,,,,,,,,
2010-06-06,,30,",,W,",1359,",,X,",257,",,0,2400",0,",,0,",0,",,0,",189,",,0,2400",133,",,0,2400",310,",,X,",0,",,0,",134,",,X,",1,",,0,",,,,,1,",,X,",1,",,X,",1702,",,W,",310,",,Z,",165,",,Z,",,,,,1,",,0,",1,",,X,",,,,,,,,,,,,,,,,,,
2010-06-07,,47,",,W,",1316,",,X,",0,",,0,2400",0,",,0,",0,",,0,",222,",,0,2400",100,",,0,2400",300,",,X,",0,",,0,",94,",,X,",,,,,,,,,,,1016,",,W,",300,",,X,",130,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-08,,34,",,W,",1540,",,X,",8,",,0,2400",0,",,0,",0,",,0,",211,",,0,2400",83,",,0,2400",330,",,X,",0,",,0,",116,",,X,",,,,,,,,,1,",,X,",1539,",,W,",330,",,X,",161,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-09,,34,",,W,",1347,",,X,",0,",,0,2400",0,",,0,",0,",,0,",211,",,0,2400",72,",,0,2400",190,",,X,",0,",,0,",80,",,X,",,,,,,,,,,,1642,",,W,",100,",,X,",156,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-10,,22,",,W,",1000,",,X,",74,",,0,2400",0,",,0,",0,",,0,",139,",,0,2400",106,",,0,2400",130,",,Z,",0,",,0,",40,",,Z,",1,",,W,",,,,,1,",,X,",1,",,X,",,,,,,,,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-11,,22,",,W,",1757,",,X,",0,",,0,2400",0,",,0,",0,",,0,",206,",,0,2400",83,",,0,2400",260,",,Z,",0,",,0,",67,",,Z,",1,",,X,",,,,,1,",,X,",,,,,,,,,1,",,X,",1,",,0,",,,,,,,,,,,,,,,,,,,,,,
2010-06-12,,17,",,W,",1132,",,X,",3,",,0,2400",0,",,0,",0,",,0,",211,",,0,2400",122,",,0,2400",300,",,Z,",0,",,0,",40,",,Z,",,,,,,,,,1,",,X,",,,,,,,,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-13,,18,",,W,",1640,",,X,",5,",,0,2400",0,",,0,",0,",,0,",161,",,0,2400",139,",,0,2400",90,",,Z,",0,",,0,",36,",,Z,",1,",,X,",,,,,1,",,X,",1,",,X,",,,,,,,1,",,X,",1,",,0,",1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-14,,17,",,W,",426,",,X,",25,",,0,2400",0,",,0,",0,",,0,",217,",,0,2400",111,",,0,2400",40,",,Z,",0,",,0,",36,",,Z,",1,",,W,",,,,,1,",,X,",1,",,X,",627,",,W,",160,",,Z,",112,",,Z,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-15,,40,",,W,",1747,",,X,",0,",,0,2400",0,",,0,",0,",,0,",239,",,0,2400",100,",,0,2400",350,",,Z,",0,",,0,",76,",,Z,",,,,,,,,,,,1745,",,W,",350,",,Z,",103,",,Z,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-16,,23,",,W,",1104,",,X,",8,",,0,2400",0,",,0,",0,",,0,",211,",,0,2400",94,",,0,2400",180,",,X,",0,",,0,",45,",,X,",,,,,,,,,1,",,X,",,,,,,,,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-17,,23,",,W,",1152,",,X,",15,",,0,2400",0,",,0,",0,",,0,",200,",,0,2400",133,",,0,2400",360,",,Z,",0,",,0,",49,",,Z,",1,",,W,",,,,,1,",,X,",1,",,X,",,,,,,,,,,,1,",,0,",,,1,",,X,",,,,,,,,,,,,,,,,
2010-06-18,,31,",,W,",944,",,X,",0,",,0,2400",0,",,0,",0,",,0,",306,",,0,2400",117,",,0,2400",310,",,X,",0,",,0,",76,",,X,",,,,,,,,,,,409,",,W,",210,",,X,",161,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-19,,39,",,W,",1626,",,X,",0,",,0,2400",0,",,0,",0,",,0,",289,",,0,2400",139,",,0,2400",180,",,X,",0,",,0,",103,",,X,",,,,,,,,,,,1626,",,W,",180,",,X,",130,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,
